PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,G,MIN,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,PCT_LOOSE_BALLS_RECOVERED_OFF,PCT_LOOSE_BALLS_RECOVERED_DEF,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF,PCT_BOX_OUTS_TEAM_REB,PCT_BOX_OUTS_REB
1641857,Liam Robbins,1610612749,MIL,25.0,11,51.0,10.6,7.1,3.5,2.8,0.0,3.5,8.5,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,0.7,0.0,1.0,1.0,0.2
1630322,Lindy Waters III,1610612765,DET,27.0,46,756.0,5.1,2.7,2.4,2.9,0.2,0.7,1.6,0.2,0.2,0.5,0.5,0.5,0.0,0.7,0.8,0.8,0.2,0.063,0.938,1.0,0.313
1629022,Lonnie Walker IV,1610612755,PHI,26.0,18,471.0,4.2,1.8,2.4,1.6,0.0,0.2,0.3,0.2,0.3,0.5,0.333,0.667,0.0,0.1,0.1,0.1,0.1,0.0,1.0,1.0,1.0
1628366,Lonzo Ball,1610612741,CHI,27.0,35,777.0,5.3,3.0,2.4,3.8,0.0,0.5,1.3,0.4,0.5,0.9,0.45,0.55,0.1,0.5,0.6,0.5,0.3,0.167,0.833,0.917,0.5
1629652,Luguentz Dort,1610612760,OKC,26.0,71,2073.0,4.3,1.8,2.5,2.8,0.1,0.9,2.1,0.3,0.5,0.9,0.408,0.592,0.3,0.6,0.8,0.8,0.2,0.313,0.688,0.979,0.298
1629029,Luka Dončić,1610612747,LAL,26.0,50,1769.0,4.9,2.1,2.8,3.4,0.1,0.2,0.5,0.2,0.4,0.5,0.296,0.704,0.0,0.4,0.4,0.4,0.2,0.045,0.955,1.0,0.455
1630568,Luka Garza,1610612750,MIN,26.0,33,209.0,11.9,8.6,3.3,4.0,0.7,4.5,10.7,0.9,0.3,1.2,0.714,0.286,1.4,1.7,3.1,3.1,1.6,0.444,0.556,1.0,0.5
1628379,Luke Kennard,1610612763,MEM,29.0,63,1449.0,2.8,1.2,1.6,2.2,0.0,0.5,1.2,0.2,0.2,0.5,0.526,0.474,0.0,0.4,0.4,0.4,0.1,0.0,1.0,1.0,0.235
1628436,Luke Kornet,1610612738,BOS,29.0,72,1361.0,14.4,10.8,3.6,1.7,0.0,4.4,11.2,0.3,0.3,0.5,0.5,0.5,1.5,1.8,3.3,3.3,2.2,0.455,0.545,1.0,0.675
1631247,Luke Travers,1610612739,CLE,23.0,8,80.0,8.1,6.8,1.4,2.3,0.0,0.9,2.3,0.0,0.0,0.0,0.0,0.0,0.5,1.4,1.8,1.8,0.9,0.25,0.75,1.0,0.5
1630644,Mac McClung,1610612753,ORL,26.0,1,5.0,0.0,0.0,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1630201,Malachi Flynn,1610612766,CHA,27.0,3,42.0,7.7,5.1,2.6,5.1,0.0,0.0,0.0,0.0,0.9,0.9,0.0,1.0,0.0,2.6,2.6,2.6,0.9,0.0,1.0,1.0,0.333
1631103,Malaki Branham,1610612759,SAS,22.0,30,362.0,4.7,2.4,2.3,1.6,0.0,0.1,0.3,0.3,0.4,0.7,0.429,0.571,0.0,0.5,0.5,0.4,0.0,0.0,1.0,0.8,0.0
1627763,Malcolm Brogdon,1610612764,WAS,32.0,24,564.0,4.0,1.5,2.6,1.9,0.0,0.4,1.0,0.3,0.3,0.6,0.5,0.5,0.2,0.4,0.6,0.6,0.3,0.333,0.667,1.0,0.444
1642502,Malevy Leons,1610612760,OKC,25.0,2,8.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1627736,Malik Beasley,1610612765,DET,28.0,80,2230.0,2.7,1.1,1.5,2.1,0.0,0.4,0.9,0.2,0.2,0.4,0.458,0.542,0.1,0.2,0.3,0.3,0.1,0.222,0.778,0.944,0.444
1628370,Malik Monk,1610612758,SAC,27.0,65,2054.0,4.5,2.1,2.4,1.9,0.0,0.6,1.2,0.4,0.4,0.7,0.524,0.476,0.0,0.3,0.3,0.3,0.1,0.0,1.0,1.0,0.158
1630699,MarJon Beauchamp,1610612752,NYK,24.0,22,129.0,4.7,2.2,2.5,3.1,0.3,0.0,0.0,0.8,1.1,2.0,0.429,0.571,0.0,1.1,1.1,0.8,0.6,0.0,1.0,0.75,0.5
1630542,Marcus Bagley,1610612755,PHI,23.0,10,253.0,6.3,3.7,2.6,3.3,0.1,0.9,2.1,0.3,0.4,0.7,0.4,0.6,0.1,0.3,0.4,0.4,0.1,0.333,0.667,1.0,0.333
1630585,Marcus Garrett,1610612766,CHA,26.0,4,79.0,2.7,1.8,0.9,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.9,0.0,0.0,1.0,1.0,0.0
1631204,Marcus Sasser,1610612765,DET,24.0,51,772.0,3.7,1.9,1.8,3.5,0.0,0.2,0.6,0.5,0.4,0.9,0.55,0.45,0.0,0.3,0.3,0.3,0.0,0.0,1.0,1.0,0.167
203935,Marcus Smart,1610612764,WAS,31.0,34,680.0,4.1,1.9,2.3,4.2,0.3,0.4,1.1,0.6,0.6,1.2,0.478,0.522,0.0,0.8,0.8,0.8,0.3,0.0,1.0,1.0,0.333
1631109,Mark Williams,1610612766,CHA,23.0,44,1171.0,13.4,8.0,5.4,1.9,0.0,4.1,9.5,0.6,0.3,0.9,0.643,0.357,0.6,1.7,2.2,2.2,1.5,0.26,0.74,1.0,0.658
1628365,Markelle Fultz,1610612758,SAC,27.0,19,177.0,4.3,2.2,2.0,3.5,0.0,0.6,1.2,0.2,0.6,0.8,0.25,0.75,0.0,0.4,0.4,0.4,0.0,0.0,1.0,1.0,0.0
202693,Markieff Morris,1610612747,LAL,35.0,11,144.0,5.5,3.3,2.3,1.8,0.0,1.8,4.8,0.0,0.3,0.3,0.0,1.0,0.0,2.0,2.0,2.0,1.3,0.0,1.0,1.0,0.625
1628963,Marvin Bagley III,1610612763,MEM,26.0,24,239.0,13.4,7.4,6.0,1.5,0.2,3.2,6.5,0.8,0.2,0.9,0.833,0.167,0.8,1.4,2.1,2.1,1.1,0.357,0.643,1.0,0.5
1630222,Mason Jones,1610612758,SAC,26.0,3,22.0,9.8,8.2,1.6,4.9,0.0,0.0,0.0,1.6,0.0,1.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203486,Mason Plumlee,1610612756,PHX,35.0,74,1300.0,8.2,6.8,1.4,2.2,0.0,4.5,10.3,0.2,0.2,0.4,0.563,0.438,0.6,1.7,2.3,2.3,1.7,0.25,0.75,1.0,0.714
1641824,Matas Buzelis,1610612741,CHI,20.0,74,1491.0,9.1,5.7,3.4,1.5,0.0,0.7,1.6,0.3,0.3,0.6,0.538,0.462,0.0,0.7,0.7,0.7,0.3,0.034,0.966,1.0,0.483
1629680,Matisse Thybulle,1610612757,POR,28.0,15,312.0,2.7,0.9,1.7,6.9,0.0,0.8,1.8,0.0,0.7,0.7,0.0,1.0,0.0,0.2,0.2,0.2,0.1,0.0,1.0,1.0,0.5
