,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,Heaves,Heaves,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
526,Phillip Wheeler,22,PHI,PF,5,0,44,.143,12.9,.524,.381,.143,.000,.000,.476,.273,.250,.333,,,.000,.333,,.095,0,.300,.000,0,0,,wheelph02
527,Malachi Flynn,26,CHO,PG,4,0,44,.385,12.6,.692,.154,.462,.077,.000,.308,.444,1.000,.333,.000,,.250,.500,1.000,.000,0,.000,,0,0,,flynnma01
528,Jack McVeigh,28,HOU,PF,9,0,43,.294,21.5,.235,.059,.059,.059,.059,.765,.250,.000,.000,1.000,.000,.308,.000,1.000,.000,0,.462,.500,0,0,,mcveija01
529,Bobi Klintman,21,DET,SF,8,0,42,.600,17.4,.500,.200,.100,.100,.100,.500,.800,1.000,1.000,.000,1.000,.400,.750,1.000,.100,1,.400,.500,0,0,,klintbo01
530,James Johnson,37,IND,PF,12,0,37,.364,14.5,.727,.364,.000,.091,.273,.273,.500,.750,,1.000,.000,.000,.750,,.000,0,.000,,0,0,,johnsja01
531,PJ Dozier,28,MIN,SG,9,0,35,.667,24.7,.000,.000,.000,.000,.000,1.000,,,,,,.667,,1.000,.000,0,.333,1.000,0,0,,doziepj01
532,Harrison Ingram,22,SAS,SF,5,0,35,.500,13.1,.750,.250,.250,.000,.250,.250,.667,1.000,1.000,,.000,.000,.500,,.000,0,.000,,0,0,,ingraha01
533,Miles Norris,24,BOS,PF,3,0,35,.222,21.6,.222,.111,.111,.000,.000,.778,.000,.000,.000,,,.286,,1.000,.000,0,.000,,0,0,,norrimi01
534,David Duke Jr.,25,SAS,SG,6,0,34,.429,12.8,.571,.286,.286,.000,.000,.429,.375,.750,.000,,,.500,.333,1.000,.000,0,.833,.600,0,0,,dukeda01
535,D.J. Carton,24,TOR,SG,4,0,33,.143,13.6,.571,.143,.429,.000,.000,.429,.250,1.000,.000,,,.000,1.000,,.000,0,.333,.000,0,0,,cartodj01
536,Bryce McGowens,22,POR,SG,13,0,32,.286,11.3,.714,.143,.429,.143,.000,.286,.400,1.000,.167,.500,,.000,.750,,.143,2,.250,.000,0,0,,mcgowbr01
537,Leonard Miller,21,MIN,SF,13,0,32,.400,10.9,.667,.400,.200,.067,.000,.333,.600,.667,.667,.000,,.000,.667,,.067,1,.000,,0,0,,millele01
538,Ulrich Chomche,19,TOR,PF,7,0,32,.400,6.9,1.000,.400,.200,.400,.000,.000,.400,.500,.000,.500,,,1.000,,.200,1,,,0,0,,chomcul01
539,Jalen Bridges,23,PHO,SF,8,0,30,.286,25.3,.000,.000,.000,.000,.000,1.000,,,,,,.286,,1.000,.000,0,.429,.667,0,0,,bridgja01
540,Jahmir Young,24,CHI,PG,6,0,30,.800,11.9,.600,.600,.000,.000,.000,.400,1.000,1.000,,,,.500,.000,.000,.000,0,.000,,0,0,,youngja05
541,Kevin McCullar Jr.,23,NYK,SF,4,0,29,.286,9.4,.857,.143,.429,.286,.000,.143,.333,1.000,.333,.000,,.000,.500,,.000,0,.000,,0,0,,mcculke01
542,Trentyn Flowers,19,LAC,SF,6,0,27,.364,10.3,.818,.182,.364,.182,.091,.182,.444,.500,.500,.500,.000,.000,.500,,.091,1,.500,.000,0,0,,flowetr01
543,Emanuel Miller,24,CHI,PF,6,0,25,.500,4.7,.875,.750,.125,.000,.000,.125,.571,.500,1.000,,,.000,.750,,.125,1,.000,,0,0,,milleem01
544,Daniss Jenkins,23,DET,PG,7,0,23,.300,18.5,.300,.300,.000,.000,.000,.700,.667,.667,,,,.143,.000,.000,.000,0,.143,.000,0,0,,jenkida01
545,Anton Watson,24,NYK,SF,9,0,22,.444,6.4,.889,.444,.444,.000,.000,.111,.500,.750,.250,,,.000,.750,,.111,1,.000,,0,0,,watsoan02
546,Tolu Smith,24,DET,PF,1,0,22,.667,1.6,1.000,.889,.111,.000,.000,.000,.667,.750,.000,,,,.667,,.000,0,,,0,0,,smithto05
547,Malevy Leons,25,OKC,SF,6,0,21,.000,15.3,.500,.000,.500,.000,.000,.500,.000,,.000,,,.000,,,.000,0,1.000,.000,0,0,,leonsma01
548,Adama Sanogo,22,CHI,C,4,0,21,.571,2.1,1.000,.714,.286,.000,.000,.000,.571,.600,.500,,,,.500,,.143,0,,,0,0,,sanogad01
549,Taze Moore,26,POR,SG,2,0,20,.200,19.1,.600,.200,.300,.100,.000,.400,.167,.500,.000,.000,,.250,.000,1.000,.100,1,.000,,1,0,,mooreta02
550,Ron Harper Jr.,24,DET,SF,1,0,17,.125,20.4,.250,.125,.125,.000,.000,.750,.500,.000,1.000,,,.000,1.000,,.000,0,.500,.000,0,0,,harpero02
551,Isaiah Mobley,25,PHI,PF,1,0,17,.286,14.6,.571,.143,.286,.143,.000,.429,.250,1.000,.000,.000,,.333,.000,1.000,.000,0,.333,.000,0,0,,mobleis01
552,Yuri Collins,23,GSW,PG,2,0,16,.333,14.1,1.000,.000,.000,.667,.333,.000,.333,,,.000,1.000,,.000,,.000,0,,,0,0,,colliyu01
553,Tristen Newton,23,2TM,SG,8,0,16,.125,13.8,.625,.125,.250,.250,.000,.375,.200,1.000,.000,.000,,.000,.000,,.000,0,.000,,0,0,,newtotr01
553,Tristen Newton,23,IND,SG,5,0,8,.167,16.8,.500,.167,.167,.167,.000,.500,.333,1.000,.000,.000,,.000,.000,,.000,0,.000,,0,0,,newtotr01
553,Tristen Newton,23,MIN,SG,3,0,8,.000,10.8,1.000,.000,.500,.500,.000,.000,.000,,.000,.000,,,,,.000,0,,,0,0,,newtotr01
554,Daishen Nix,22,MIN,PG,3,0,13,.000,24.8,.000,.000,.000,.000,.000,1.000,,,,,,.000,,,.000,0,.000,,0,0,,nixda01
555,Skal Labissière,28,SAC,PF,4,0,12,.500,15.2,.750,.000,.250,.500,.000,.250,.333,,.000,.500,,1.000,1.000,1.000,.000,0,.000,,0,0,,labissk01
556,Braxton Key,27,GSW,SF,3,0,11,.000,11.5,.750,.000,.500,.250,.000,.250,.000,,.000,.000,,.000,,,.250,0,.000,,0,0,,keybr01
557,Cui Yongxi,21,BRK,SG,5,0,10,.143,12.2,.571,.429,.143,.000,.000,.429,.250,.333,.000,,,.000,1.000,,.000,0,.667,.000,0,0,,cuiyo01
558,Mac McClung,26,ORL,SG,2,0,10,.000,17.6,.500,.000,.500,.000,.000,.500,.000,,.000,,,.000,,,.000,0,.000,,0,0,,mccluma01
559,Quincy Olivari,23,LAL,PG,2,0,10,.200,25.8,.000,.000,.000,.000,.000,1.000,,,,,,.200,,1.000,.000,0,.200,.000,0,0,,olivaqu01
560,Terence Davis,27,SAC,SG,1,0,8,.000,21.1,.500,.000,.000,.500,.000,.500,.000,,,.000,,.000,,,.000,0,.000,,0,0,,daviste02
561,Jalen McDaniels,27,WAS,SF,4,0,7,,,,,,,,,,,,,,,,,,0,,,0,0,,mcdanja01
562,Riley Minix,24,SAS,SF,1,0,7,.000,30.4,.000,.000,.000,.000,.000,1.000,,,,,,.000,,,.000,0,.000,,0,0,,minixri01
563,Isaiah Stevens,24,MIA,PG,3,0,6,.000,17.1,.500,.000,.500,.000,.000,.500,.000,,.000,,,.000,,,.000,0,.000,,0,0,,steveis01
564,Terry Taylor,25,SAC,PF,3,0,6,.000,5.9,1.000,.000,1.000,.000,.000,.000,.000,,.000,,,,,,.000,0,,,0,0,,taylote01
565,Jesse Edwards,24,MIN,C,2,0,5,,,,,,,,,,,,,,,,,,0,,,0,0,,edwarje01
566,James Wiseman,23,IND,C,1,0,5,.500,14.1,.750,.000,.500,.000,.250,.250,.667,,1.000,,.000,.000,1.000,,.000,0,.000,,0,0,,wisemja01
567,Alondes Williams,25,DET,SG,1,0,4,1.000,13.5,.500,.500,.000,.000,.000,.500,1.000,1.000,,,,1.000,.000,1.000,.000,0,.000,,0,0,,willial06
568,Zyon Pullin,23,MEM,SG,3,0,3,.000,8.8,1.000,.000,1.000,.000,.000,.000,.000,,.000,,,,,,.000,0,,,0,0,,pullizy01
569,Jahlil Okafor,29,IND,C,1,0,3,,,,,,,,,,,,,,,,,,0,,,0,0,,okafoja01
,League Average,,,,,,,.467,14.1,.579,.226,.214,.091,.048,.421,.545,.696,.461,.443,.400,.360,.542,.834,.061,,.243,.388,,,,-9999
